node,type,position,group,education,political party,religion,reference,link
Yoann La Corte,people,"Conseiller en charge de l'aérien, du budget et du transport maritime",Transport,,,,,
Antoine Foucher,people,Directeur de cabinet,Travail,Sciences Po,Les Républicains,,,
Claire Scotton,people,Directeur du cabinet adjoint,Travail,,,,,
Fanny Forrest-Baccialone,people,Conseillère parlementaire,Travail,,,,,
Garance Pineau,people,Conseillère diplomatique,Travail,,,,,
Marc Ferracci,people,Conseiller spécial auprès de la ministre,Travail,,,,,
Patrice Ivon,people,Conseiller en charge des mutations économiques et de la santé au travail,Travail,,,,,
Stéphane Lardy,people,Directeur du cabinet adjoint,Travail,,,,,
Stéphanie Rysmont-Wargnier,people,Conseillère presse et communication,Travail,,,,,
Xavier Geoffroy,people,Chef de Cabinet,Travail,,,,,
ATTAC,organization,,,,,,,
BFM,organization,,,,,,,
BNP Paribas,organization,,,,,,,
Commission européenne,organization,,,,,,,
CRIF,organization,,,,,,,
Fondation Jean-Jaurès,organization,,,,,,,
Force ouvrière,organization,,,,,,,
France Télévisions,organization,,,,,,,
French-American Foundation,organization,,,,,,,
Groupe Bilderberg,organization,,,,,,,
Havas,organization,,,,,,,
HSBC France,organization,,,,,,,
Institut Montaigne,organization,,,,,,,
JPMorgan Chase,organization,,,,,,,
L'Obs,organization,,,,,,,
Le Siècle,organization,,,,,,"114, 115, 427",
Les Gracques,organization,,,,,,,
McKinsey & Company,organization,,,,,,,
MEDEF,organization,,,,,,,
Rothschild & Cie,organization,,,,,,,
SOS Racisme,organization,,,,,,,
Terra Nova,organization,,,,,,,
Total,organization,,,,,,,
UNEF,organization,,,,,,,
WWF,organization,,,,,,,
